company_name,code,market
*ST工新,600701,shanghai
舍得酒业,600702,shanghai
三安光电,600703,shanghai
物产中大,600704,shanghai
中航投资,600705,shanghai
曲江文旅,600706,shanghai
彩虹股份,600707,shanghai
光明地产,600708,shanghai
ST生态,600709,shanghai
苏美达,600710,shanghai
盛屯矿业,600711,shanghai
南宁百货,600712,shanghai
南京医药,600713,shanghai
金瑞矿业,600714,shanghai
文投控股,600715,shanghai
凤凰股份,600716,shanghai
天津港,600717,shanghai
东软集团,600718,shanghai
大连热电,600719,shanghai
祁连山,600720,shanghai
*ST百花,600721,shanghai
